epoch,train_loss,mse,step,r2_score,val_loss
0,274.9113464355469,274.9113464355469,9,-10.120745658874512,
0,,205.5011749267578,9,-5.795079708099365,205.5011749267578
1,196.35501098632812,196.35501098632812,19,-4.985584735870361,
1,,202.4710693359375,19,-5.695399284362793,202.4710693359375
2,229.2020263671875,229.2020263671875,29,-7.455690383911133,
2,,199.4337921142578,29,-5.595505237579346,199.4337921142578
3,255.82110595703125,255.82110595703125,39,-4.660155296325684,
3,,196.39178466796875,39,-5.495524883270264,196.39178466796875
4,253.55345153808594,253.55345153808594,49,-10.967146873474121,
4,,193.37451171875,49,-5.396388053894043,193.37451171875
5,187.42027282714844,187.42027282714844,59,-10.440298080444336,
5,,190.37814331054688,59,-5.2979841232299805,190.37814331054688
6,166.82644653320312,166.82644653320312,69,-10.845315933227539,
6,,187.4235076904297,69,-5.200874328613281,187.4235076904297
7,210.47341918945312,210.47341918945312,79,-5.973729133605957,
7,,184.5386505126953,79,-5.105982780456543,184.5386505126953
8,219.9344024658203,219.9344024658203,89,-3.88570499420166,
8,,181.6667022705078,89,-5.011595249176025,181.6667022705078
9,181.57643127441406,181.57643127441406,99,-8.49760627746582,
9,,178.84481811523438,99,-4.918807029724121,178.84481811523438
