mse,epoch,r2_score,train_loss,step,val_loss
246.46124267578125,0,-10.788548469543457,246.46124267578125,9,
212.79104614257812,0,-6.03817081451416,,9,212.79104614257812
243.81251525878906,1,-4.597506523132324,243.81251525878906,19,
209.49234008789062,1,-5.9299798011779785,,19,209.49234008789062
184.1993865966797,2,-8.107949256896973,184.1993865966797,29,
206.21047973632812,2,-5.822314262390137,,29,206.21047973632812
185.88433837890625,3,-4.549050807952881,185.88433837890625,39,
202.86451721191406,3,-5.712506294250488,,39,202.86451721191406
281.41351318359375,4,-12.37159252166748,281.41351318359375,49,
199.61245727539062,4,-5.605855464935303,,49,199.61245727539062
222.56382751464844,5,-9.776786804199219,222.56382751464844,59,
196.4991455078125,5,-5.503739356994629,,59,196.4991455078125
178.9201202392578,6,-8.114500045776367,178.9201202392578,69,
193.37095642089844,6,-5.40101432800293,,69,193.37095642089844
235.8690185546875,7,-12.174395561218262,235.8690185546875,79,
190.2884063720703,7,-5.299794673919678,,79,190.2884063720703
198.84970092773438,8,-4.1253275871276855,198.84970092773438,89,
187.29135131835938,8,-5.201388359069824,,89,187.29135131835938
152.62588500976562,9,-3.2654523849487305,152.62588500976562,99,
184.24188232421875,9,-5.1014299392700195,,99,184.24188232421875
