step,mse,epoch,train_loss,r2_score,val_loss
9,36.28242111206055,0,36.28242111206055,-0.4677006006240845,
9,25.100818634033203,0,,0.1739373505115509,25.100818634033203
19,13.339048385620117,1,13.339048385620117,0.5933793187141418,
19,13.339070320129395,1,,0.560021698474884,13.339070320129395
29,4.428620338439941,2,4.428620338439941,0.8366199731826782,
29,7.7100324630737305,2,,0.7568809986114502,7.7100324630737305
39,7.974182605743408,3,7.974182605743408,0.8235676884651184,
39,6.726753234863281,3,,0.7867118120193481,6.726753234863281
49,6.933034896850586,4,6.933034896850586,0.672776460647583,
49,6.258644104003906,4,,0.8033233880996704,6.258644104003906
59,2.9930334091186523,5,2.9930334091186523,0.8173025846481323,
59,6.655404567718506,5,,0.7908162474632263,6.655404567718506
69,2.748053550720215,6,2.748053550720215,0.8048776984214783,
69,6.226006507873535,6,,0.8048391342163086,6.226006507873535
79,2.163356304168701,7,2.163356304168701,0.9283203482627869,
79,7.160325527191162,7,,0.7748104929924011,7.160325527191162
89,8.16120719909668,8,8.16120719909668,0.8187038898468018,
89,7.232666969299316,8,,0.7714560627937317,7.232666969299316
99,5.273189067840576,9,5.273189067840576,0.7241785526275635,
99,8.106645584106445,9,,0.7441586256027222,8.106645584106445
109,6.209343433380127,10,6.209343433380127,0.806749701499939,
109,6.5427985191345215,10,,0.7936450242996216,6.5427985191345215
119,7.108729362487793,11,7.108729362487793,0.41620880365371704,
119,6.414429664611816,11,,0.7989745140075684,6.414429664611816
129,6.10267448425293,12,6.10267448425293,0.7449843287467957,
129,6.478446960449219,12,,0.7968484163284302,6.478446960449219
139,7.054429054260254,13,7.054429054260254,0.7805197834968567,
139,7.356178283691406,13,,0.7660325765609741,7.356178283691406
149,5.148903846740723,14,5.148903846740723,0.8353272676467896,
149,6.10764741897583,14,,0.809404730796814,6.10764741897583
159,5.617519378662109,15,5.617519378662109,0.8172957897186279,
159,6.323655128479004,15,,0.8017918467521667,6.323655128479004
169,2.1201565265655518,16,2.1201565265655518,0.8530968427658081,
169,6.082533836364746,16,,0.8098149299621582,6.082533836364746
179,4.270890235900879,17,4.270890235900879,0.8042528033256531,
179,6.968908786773682,17,,0.7807195782661438,6.968908786773682
189,5.201839447021484,18,5.201839447021484,0.7723884582519531,
189,6.600680351257324,18,,0.792026937007904,6.600680351257324
199,4.937817573547363,19,4.937817573547363,0.8206346035003662,
199,7.851448059082031,19,,0.7492512464523315,7.851448059082031
209,8.427290916442871,20,8.427290916442871,0.6502512693405151,
209,7.425721168518066,20,,0.7664663791656494,7.425721168518066
219,8.846159934997559,21,8.846159934997559,0.7652983665466309,
219,8.66135025024414,21,,0.7199568748474121,8.66135025024414
229,6.650925636291504,22,6.650925636291504,0.7592697739601135,
229,7.46875524520874,22,,0.7652456760406494,7.46875524520874
239,3.833112955093384,23,3.833112955093384,0.7820929288864136,
239,7.567059516906738,23,,0.7581045031547546,7.567059516906738
249,6.866428375244141,24,6.866428375244141,0.620317280292511,
249,6.284590244293213,24,,0.8039795756340027,6.284590244293213
259,1.5875519514083862,25,1.5875519514083862,0.9263016581535339,
259,6.343352794647217,25,,0.8005383610725403,6.343352794647217
269,5.52073860168457,26,5.52073860168457,0.7241478562355042,
269,6.893995761871338,26,,0.7813298106193542,6.893995761871338
279,3.7388415336608887,27,3.7388415336608887,0.7423148155212402,
279,6.814574241638184,27,,0.7869866490364075,6.814574241638184
289,3.8986973762512207,28,3.8986973762512207,0.6653478145599365,
289,6.543251037597656,28,,0.7930930256843567,6.543251037597656
299,8.01170539855957,29,8.01170539855957,0.6734534502029419,
299,7.415648460388184,29,,0.7672072649002075,7.415648460388184
309,3.262960910797119,30,3.262960910797119,0.8158454298973083,
309,6.264573574066162,30,,0.8029446601867676,6.264573574066162
319,4.32850456237793,31,4.32850456237793,0.8688057065010071,
319,6.398249626159668,31,,0.8003034591674805,6.398249626159668
329,7.381771564483643,32,7.381771564483643,0.5434709787368774,
329,6.6854424476623535,32,,0.7895246148109436,6.6854424476623535
339,5.381069660186768,33,5.381069660186768,0.7951617240905762,
339,6.6088433265686035,33,,0.7932412624359131,6.6088433265686035
349,6.180415630340576,34,6.180415630340576,0.589268684387207,
349,6.158455848693848,34,,0.8078988194465637,6.158455848693848
359,8.300583839416504,35,8.300583839416504,0.7843084931373596,
359,6.135231018066406,35,,0.8080177307128906,6.135231018066406
369,3.206537961959839,36,3.206537961959839,0.9018694758415222,
369,6.261651039123535,36,,0.8038619756698608,6.261651039123535
379,3.866511344909668,37,3.866511344909668,0.7435575723648071,
379,7.006425380706787,37,,0.7787727117538452,7.006425380706787
389,3.6572487354278564,38,3.6572487354278564,0.8370289206504822,
389,6.940739631652832,38,,0.7808558344841003,6.940739631652832
399,2.657905101776123,39,2.657905101776123,0.847245454788208,
399,6.593411922454834,39,,0.7922474145889282,6.593411922454834
409,4.530218124389648,40,4.530218124389648,0.7862206697463989,
409,6.108617305755615,40,,0.8087170720100403,6.108617305755615
419,2.1942100524902344,41,2.1942100524902344,0.9364882111549377,
419,7.178011894226074,41,,0.7754380702972412,7.178011894226074
429,3.9802329540252686,42,3.9802329540252686,0.831515371799469,
429,6.19608211517334,42,,0.8054252862930298,6.19608211517334
439,2.4439218044281006,43,2.4439218044281006,0.9018121957778931,
439,6.242726802825928,43,,0.8049052953720093,6.242726802825928
449,7.5750837326049805,44,7.5750837326049805,0.7696361541748047,
449,6.181244850158691,44,,0.8066506385803223,6.181244850158691
459,6.3810715675354,45,6.3810715675354,0.6795387268066406,
459,6.118433952331543,45,,0.8087270855903625,6.118433952331543
469,5.910263538360596,46,5.910263538360596,0.8117092251777649,
469,6.325970649719238,46,,0.8013736605644226,6.325970649719238
479,3.517235040664673,47,3.517235040664673,0.82874995470047,
479,6.308627128601074,47,,0.8016613125801086,6.308627128601074
489,5.423981189727783,48,5.423981189727783,0.8257136344909668,
489,6.106131553649902,48,,0.8087394833564758,6.106131553649902
499,4.547672271728516,49,4.547672271728516,0.8001897931098938,
499,6.150228977203369,49,,0.8080522418022156,6.150228977203369
509,3.751117706298828,50,3.751117706298828,0.7630654573440552,
509,6.778771877288818,50,,0.7849575877189636,6.778771877288818
519,3.588174819946289,51,3.588174819946289,0.711466372013092,
519,6.488897800445557,51,,0.7971685528755188,6.488897800445557
529,5.687708377838135,52,5.687708377838135,0.7541115283966064,
529,7.167565822601318,52,,0.7729536294937134,7.167565822601318
539,3.223612070083618,53,3.223612070083618,0.8328814506530762,
539,6.342577934265137,53,,0.8015792965888977,6.342577934265137
549,4.0786566734313965,54,4.0786566734313965,0.825756311416626,
549,6.2911787033081055,54,,0.8036640286445618,6.2911787033081055
559,5.327675819396973,55,5.327675819396973,0.7104499340057373,
559,6.082629203796387,55,,0.8098100423812866,6.082629203796387
569,5.872794151306152,56,5.872794151306152,0.6473648548126221,
569,6.336741924285889,56,,0.8015836477279663,6.336741924285889
579,6.032479286193848,57,6.032479286193848,0.7802872657775879,
579,6.116692066192627,57,,0.8084508776664734,6.116692066192627
589,4.753553867340088,58,4.753553867340088,0.8535727858543396,
589,6.436654567718506,58,,0.7980607151985168,6.436654567718506
599,5.636955738067627,59,5.636955738067627,0.7684731483459473,
599,6.175768852233887,59,,0.8062261343002319,6.175768852233887
609,5.594095230102539,60,5.594095230102539,0.8145722150802612,
609,6.642269134521484,60,,0.7923730611801147,6.642269134521484
619,7.326473712921143,61,7.326473712921143,0.7308283448219299,
619,6.1326422691345215,61,,0.8077446818351746,6.1326422691345215
629,6.98091459274292,62,6.98091459274292,0.6550711393356323,
629,6.692593574523926,62,,0.7880670428276062,6.692593574523926
639,8.492242813110352,63,8.492242813110352,0.43624502420425415,
639,6.72379207611084,63,,0.7899975776672363,6.72379207611084
649,6.739774703979492,64,6.739774703979492,0.739581823348999,
649,7.119458198547363,64,,0.7731932401657104,7.119458198547363
659,7.231738090515137,65,7.231738090515137,0.8280216455459595,
659,7.333664894104004,65,,0.7701756954193115,7.333664894104004
669,8.269302368164062,66,8.269302368164062,0.7432911992073059,
669,7.38162088394165,66,,0.7642875909805298,7.38162088394165
679,4.1994218826293945,67,4.1994218826293945,0.8224111199378967,
679,6.134707927703857,67,,0.8083704113960266,6.134707927703857
689,4.684642791748047,68,4.684642791748047,0.7912892699241638,
689,6.232696533203125,68,,0.8045356869697571,6.232696533203125
699,4.640394687652588,69,4.640394687652588,0.7983039617538452,
699,6.0864577293396,69,,0.809895396232605,6.0864577293396
709,6.467432975769043,70,6.467432975769043,0.7100328803062439,
709,6.407586574554443,70,,0.7985304594039917,6.407586574554443
719,6.100954532623291,71,6.100954532623291,0.5220794677734375,
719,6.4185614585876465,71,,0.7974791526794434,6.4185614585876465
729,3.7730495929718018,72,3.7730495929718018,0.773219645023346,
729,6.116077423095703,72,,0.8088167309761047,6.116077423095703
739,5.8031206130981445,73,5.8031206130981445,0.7882410883903503,
739,6.46435022354126,73,,0.7982457876205444,6.46435022354126
749,5.781717300415039,74,5.781717300415039,0.7928022146224976,
749,6.751791477203369,74,,0.7869242429733276,6.751791477203369
759,9.304951667785645,75,9.304951667785645,0.684357225894928,
759,6.728695869445801,75,,0.7892364263534546,6.728695869445801
769,5.608112335205078,76,5.608112335205078,0.8356770277023315,
769,6.083855152130127,76,,0.8100568056106567,6.083855152130127
779,4.021533012390137,77,4.021533012390137,0.6283227801322937,
779,6.235394477844238,77,,0.8051772117614746,6.235394477844238
789,4.207409381866455,78,4.207409381866455,0.7841416001319885,
789,6.125319480895996,78,,0.8085306882858276,6.125319480895996
799,2.5678560733795166,79,2.5678560733795166,0.781939685344696,
799,6.5011773109436035,79,,0.7946717143058777,6.5011773109436035
809,7.339282512664795,80,7.339282512664795,0.7018502354621887,
809,6.257594108581543,80,,0.8047181963920593,6.257594108581543
819,7.829143524169922,81,7.829143524169922,0.7932863235473633,
819,6.731616020202637,81,,0.7864714860916138,6.731616020202637
829,4.148152828216553,82,4.148152828216553,0.794682502746582,
829,6.921332359313965,82,,0.783504843711853,6.921332359313965
839,6.214056968688965,83,6.214056968688965,0.7308908700942993,
839,6.935297966003418,83,,0.7796473503112793,6.935297966003418
849,4.675058841705322,84,4.675058841705322,0.714766263961792,
849,6.609119415283203,84,,0.7936831712722778,6.609119415283203
859,6.866908073425293,85,6.866908073425293,0.7839193344116211,
859,6.637631416320801,85,,0.7904578447341919,6.637631416320801
869,3.331866979598999,86,3.331866979598999,0.87550950050354,
869,6.26334285736084,86,,0.8038466572761536,6.26334285736084
879,4.997603416442871,87,4.997603416442871,0.6639666557312012,
879,6.190846920013428,87,,0.8060516119003296,6.190846920013428
889,4.065810203552246,88,4.065810203552246,0.8093990087509155,
889,6.498304843902588,88,,0.7953535318374634,6.498304843902588
899,6.864676475524902,89,6.864676475524902,0.6561638116836548,
899,6.07740592956543,89,,0.8101812601089478,6.07740592956543
909,10.67225170135498,90,10.67225170135498,0.7653128504753113,
909,6.161275386810303,90,,0.8069595098495483,6.161275386810303
919,4.663415908813477,91,4.663415908813477,0.8752241134643555,
919,6.837309837341309,91,,0.7860285043716431,6.837309837341309
929,5.591886520385742,92,5.591886520385742,0.712785005569458,
929,6.299569129943848,92,,0.8022565841674805,6.299569129943848
939,2.5059947967529297,93,2.5059947967529297,0.8513338565826416,
939,6.549717903137207,93,,0.7944319248199463,6.549717903137207
949,5.881349563598633,94,5.881349563598633,0.7850651144981384,
949,6.267341136932373,94,,0.8033421635627747,6.267341136932373
959,5.043562412261963,95,5.043562412261963,0.8420856595039368,
959,6.081881999969482,95,,0.8097119331359863,6.081881999969482
969,5.884876251220703,96,5.884876251220703,0.7973698973655701,
969,6.072507381439209,96,,0.8102633357048035,6.072507381439209
979,6.1221466064453125,97,6.1221466064453125,0.7642746567726135,
979,6.113561153411865,97,,0.8084556460380554,6.113561153411865
989,7.037381172180176,98,7.037381172180176,0.696570098400116,
989,6.173087120056152,98,,0.8072353601455688,6.173087120056152
999,3.5440781116485596,99,3.5440781116485596,0.8703465461730957,
999,6.399479866027832,99,,0.7992304563522339,6.399479866027832
