epoch,step,train_loss,val_loss
0,4,0.7976717948913574,
0,6,,0.7457613945007324
1,9,0.693886935710907,
1,13,,0.7457613945007324
2,14,0.6927400231361389,
2,19,0.778398334980011,
2,20,,0.7457613945007324
3,24,0.7032716274261475,
3,27,,0.7457613945007324
4,29,0.7813321352005005,
4,34,0.7777085304260254,
4,34,,0.7457613945007324
5,39,0.7678185701370239,
5,41,,0.7457613945007324
6,44,0.7703574895858765,
6,48,,0.7457613945007324
7,49,0.8153202533721924,
7,54,0.7150746583938599,
7,55,,0.7457613945007324
8,59,0.7316606640815735,
8,62,,0.7457613945007324
9,64,0.8038089275360107,
9,69,0.6622974872589111,
9,69,,0.7457613945007324
10,74,0.726697564125061,
10,76,,0.7457613945007324
11,79,0.6114119291305542,
11,83,,0.7457613945007324
12,84,0.7889266014099121,
12,89,0.7292201519012451,
12,90,,0.7457613945007324
13,94,0.685048520565033,
13,97,,0.7457613945007324
14,99,0.6728364825248718,
14,104,0.6593502759933472,
14,104,,0.7457613945007324
15,109,0.8146957755088806,
15,111,,0.7457613945007324
16,114,0.6988800764083862,
16,118,,0.7457613945007324
17,119,0.7900063395500183,
17,124,0.7510135769844055,
17,125,,0.7457613945007324
18,129,0.7772059440612793,
18,132,,0.7457613945007324
19,134,0.7864907383918762,
19,139,0.6097932457923889,
19,139,,0.7457613945007324
20,144,0.8201983571052551,
20,146,,0.7457613945007324
21,149,0.7548134326934814,
21,153,,0.7457613945007324
22,154,0.7006388306617737,
22,159,0.6494864225387573,
22,160,,0.7457613945007324
23,164,0.7273549437522888,
23,167,,0.7457613945007324
24,169,0.7385692000389099,
24,174,1.1273735761642456,
24,174,,0.7457613945007324
25,179,0.7054877877235413,
25,181,,0.7457613945007324
26,184,0.7215960025787354,
26,188,,0.7457613945007324
27,189,0.7687922716140747,
27,194,0.7499351501464844,
27,195,,0.7457613945007324
28,199,0.7195624113082886,
28,202,,0.7457613945007324
29,204,0.66433185338974,
29,209,0.6531171202659607,
29,209,,0.7457613945007324
30,214,0.7134608030319214,
30,216,,0.7457613945007324
31,219,0.7637413740158081,
31,223,,0.7457613945007324
32,224,0.7380079030990601,
32,229,0.7334318161010742,
32,230,,0.7457613945007324
33,234,0.7124606966972351,
33,237,,0.7457613945007324
34,239,0.7546771168708801,
34,244,0.8146820068359375,
34,244,,0.7457613945007324
35,249,0.726289689540863,
35,251,,0.7457613945007324
36,254,0.7323473691940308,
36,258,,0.7457613945007324
37,259,0.8349462151527405,
37,264,0.6972358822822571,
37,265,,0.7457613945007324
38,269,0.6545923352241516,
38,272,,0.7457613945007324
39,274,0.7906662821769714,
39,279,0.7684329152107239,
39,279,,0.7457613945007324
40,284,0.818479061126709,
40,286,,0.7457613945007324
41,289,0.7284915447235107,
41,293,,0.7457613945007324
42,294,0.7283260226249695,
42,299,0.7388386726379395,
42,300,,0.7457613945007324
43,304,0.7579704523086548,
43,307,,0.7457613945007324
44,309,0.7933839559555054,
44,314,0.7384090423583984,
44,314,,0.7457613945007324
45,319,0.737453818321228,
45,321,,0.7457613945007324
46,324,0.6534055471420288,
46,328,,0.7457613945007324
47,329,0.7157436013221741,
47,334,0.8274651765823364,
47,335,,0.7457613945007324
48,339,0.8187012672424316,
48,342,,0.7457613945007324
49,344,0.7686883807182312,
49,349,0.5899348258972168,
49,349,,0.7457613945007324
