step,train_accuracy,epoch,val_accuracy
4,0.34375,0,
6,,0,0.28999999165534973
9,0.359375,1,
13,,1,0.28999999165534973
14,0.421875,2,
19,0.3125,2,
20,,2,0.28999999165534973
24,0.328125,3,
27,,3,0.28999999165534973
29,0.296875,4,
34,0.3125,4,
34,,4,0.28999999165534973
39,0.390625,5,
41,,5,0.28999999165534973
44,0.390625,6,
48,,6,0.28999999165534973
49,0.296875,7,
54,0.34375,7,
55,,7,0.28999999165534973
59,0.34375,8,
62,,8,0.28999999165534973
64,0.28125,9,
69,0.3125,9,
69,,9,0.28999999165534973
74,0.328125,10,
76,,10,0.28999999165534973
79,0.328125,11,
83,,11,0.28999999165534973
84,0.375,12,
89,0.421875,12,
90,,12,0.28999999165534973
94,0.296875,13,
97,,13,0.28999999165534973
99,0.265625,14,
104,0.3125,14,
104,,14,0.28999999165534973
109,0.359375,15,
111,,15,0.28999999165534973
114,0.265625,16,
118,,16,0.28999999165534973
119,0.28125,17,
124,0.375,17,
125,,17,0.28999999165534973
129,0.34375,18,
132,,18,0.28999999165534973
134,0.25,19,
139,0.3125,19,
139,,19,0.28999999165534973
144,0.34375,20,
146,,20,0.28999999165534973
149,0.375,21,
153,,21,0.28999999165534973
154,0.375,22,
159,0.34375,22,
160,,22,0.28999999165534973
164,0.3125,23,
167,,23,0.28999999165534973
169,0.28125,24,
174,0.4375,24,
174,,24,0.28999999165534973
179,0.390625,25,
181,,25,0.28999999165534973
184,0.390625,26,
188,,26,0.28999999165534973
189,0.34375,27,
194,0.3125,27,
195,,27,0.28999999165534973
199,0.359375,28,
202,,28,0.28999999165534973
204,0.34375,29,
209,0.3125,29,
209,,29,0.28999999165534973
214,0.328125,30,
216,,30,0.28999999165534973
219,0.359375,31,
223,,31,0.28999999165534973
224,0.359375,32,
229,0.3125,32,
230,,32,0.28999999165534973
234,0.34375,33,
237,,33,0.28999999165534973
239,0.34375,34,
244,0.1875,34,
244,,34,0.28999999165534973
249,0.34375,35,
251,,35,0.28999999165534973
254,0.234375,36,
258,,36,0.28999999165534973
259,0.3125,37,
264,0.375,37,
265,,37,0.28999999165534973
269,0.28125,38,
272,,38,0.28999999165534973
274,0.328125,39,
279,0.25,39,
279,,39,0.28999999165534973
284,0.359375,40,
286,,40,0.28999999165534973
289,0.453125,41,
293,,41,0.28999999165534973
294,0.40625,42,
299,0.203125,42,
300,,42,0.28999999165534973
304,0.359375,43,
307,,43,0.28999999165534973
309,0.234375,44,
314,0.6875,44,
314,,44,0.28999999165534973
319,0.46875,45,
321,,45,0.28999999165534973
324,0.328125,46,
328,,46,0.28999999165534973
329,0.328125,47,
334,0.3125,47,
335,,47,0.28999999165534973
339,0.359375,48,
342,,48,0.28999999165534973
344,0.25,49,
349,0.4375,49,
349,,49,0.28999999165534973
