step,epoch,train_accuracy,val_accuracy
4,0,0.34375,
6,0,,0.28999999165534973
9,1,0.359375,
13,1,,0.28999999165534973
14,2,0.421875,
19,2,0.3125,
20,2,,0.28999999165534973
24,3,0.328125,
27,3,,0.28999999165534973
29,4,0.296875,
34,4,0.3125,
34,4,,0.28999999165534973
39,5,0.390625,
41,5,,0.28999999165534973
44,6,0.390625,
48,6,,0.28999999165534973
49,7,0.296875,
54,7,0.34375,
55,7,,0.28999999165534973
59,8,0.34375,
62,8,,0.28999999165534973
64,9,0.28125,
69,9,0.3125,
69,9,,0.28999999165534973
74,10,0.328125,
76,10,,0.28999999165534973
79,11,0.328125,
83,11,,0.28999999165534973
84,12,0.375,
89,12,0.421875,
90,12,,0.28999999165534973
94,13,0.296875,
97,13,,0.28999999165534973
99,14,0.265625,
104,14,0.3125,
104,14,,0.28999999165534973
109,15,0.359375,
111,15,,0.28999999165534973
114,16,0.265625,
118,16,,0.28999999165534973
119,17,0.28125,
124,17,0.375,
125,17,,0.28999999165534973
129,18,0.34375,
132,18,,0.28999999165534973
134,19,0.25,
139,19,0.3125,
139,19,,0.28999999165534973
144,20,0.34375,
146,20,,0.28999999165534973
149,21,0.375,
153,21,,0.28999999165534973
154,22,0.375,
159,22,0.34375,
160,22,,0.28999999165534973
164,23,0.3125,
167,23,,0.28999999165534973
169,24,0.28125,
174,24,0.4375,
174,24,,0.28999999165534973
179,25,0.390625,
181,25,,0.28999999165534973
184,26,0.390625,
188,26,,0.28999999165534973
189,27,0.34375,
194,27,0.3125,
195,27,,0.28999999165534973
199,28,0.359375,
202,28,,0.28999999165534973
204,29,0.34375,
209,29,0.3125,
209,29,,0.28999999165534973
214,30,0.328125,
216,30,,0.28999999165534973
219,31,0.359375,
223,31,,0.28999999165534973
224,32,0.359375,
229,32,0.3125,
230,32,,0.28999999165534973
234,33,0.34375,
237,33,,0.28999999165534973
239,34,0.34375,
244,34,0.1875,
244,34,,0.28999999165534973
249,35,0.34375,
251,35,,0.28999999165534973
254,36,0.234375,
258,36,,0.28999999165534973
259,37,0.3125,
264,37,0.375,
265,37,,0.28999999165534973
269,38,0.28125,
272,38,,0.28999999165534973
274,39,0.328125,
279,39,0.25,
279,39,,0.28999999165534973
284,40,0.359375,
286,40,,0.28999999165534973
289,41,0.453125,
293,41,,0.28999999165534973
294,42,0.40625,
299,42,0.203125,
300,42,,0.28999999165534973
304,43,0.359375,
307,43,,0.28999999165534973
309,44,0.234375,
314,44,0.6875,
314,44,,0.28999999165534973
319,45,0.46875,
321,45,,0.28999999165534973
324,46,0.328125,
328,46,,0.28999999165534973
329,47,0.328125,
334,47,0.3125,
335,47,,0.28999999165534973
339,48,0.359375,
342,48,,0.28999999165534973
344,49,0.25,
349,49,0.4375,
349,49,,0.28999999165534973
