step,epoch,r2_score,mse,train_loss,val_loss
9,0,-10.120745658874512,274.9113464355469,274.9113464355469,
9,0,-5.795079708099365,205.5011749267578,,205.5011749267578
19,1,-4.985584735870361,196.35501098632812,196.35501098632812,
19,1,-5.695399284362793,202.4710693359375,,202.4710693359375
29,2,-7.455690383911133,229.2020263671875,229.2020263671875,
29,2,-5.595505237579346,199.4337921142578,,199.4337921142578
39,3,-4.660155296325684,255.82110595703125,255.82110595703125,
39,3,-5.495524883270264,196.39178466796875,,196.39178466796875
49,4,-10.967146873474121,253.55345153808594,253.55345153808594,
49,4,-5.396388053894043,193.37451171875,,193.37451171875
59,5,-10.440298080444336,187.42027282714844,187.42027282714844,
59,5,-5.2979841232299805,190.37814331054688,,190.37814331054688
69,6,-10.845315933227539,166.82644653320312,166.82644653320312,
69,6,-5.200874328613281,187.4235076904297,,187.4235076904297
79,7,-5.973729133605957,210.47341918945312,210.47341918945312,
79,7,-5.105982780456543,184.5386505126953,,184.5386505126953
89,8,-3.88570499420166,219.9344024658203,219.9344024658203,
89,8,-5.011595249176025,181.6667022705078,,181.6667022705078
99,9,-8.49760627746582,181.57643127441406,181.57643127441406,
99,9,-4.918807029724121,178.84481811523438,,178.84481811523438
