step,val_loss,mse,epoch,r2_score,train_loss
4,89.92581939697266,89.92581939697266,0,-1.9912887811660767,
9,,42.74456024169922,1,-0.30300307273864746,42.74456024169922
9,28.937061309814453,28.937061309814453,1,0.04353175312280655,
14,6.694537162780762,6.694537162780762,2,0.7882665395736694,
19,,9.210267066955566,3,0.796218752861023,9.210267066955566
19,12.892440795898438,12.892440795898438,3,0.5807899236679077,
24,7.719004154205322,7.719004154205322,4,0.7536280155181885,
29,,3.4247498512268066,5,0.7909502387046814,3.4247498512268066
29,7.2775139808654785,7.2775139808654785,5,0.7707352638244629,
34,6.880697727203369,6.880697727203369,6,0.7842090725898743,
39,,2.491692543029785,7,0.9174414277076721,2.491692543029785
39,6.876662254333496,6.876662254333496,7,0.7821272611618042,
44,7.04806661605835,7.04806661605835,8,0.777279257774353,
49,,4.297147750854492,9,0.7752317190170288,4.297147750854492
49,6.200570583343506,6.200570583343506,9,0.8065944910049438,
54,6.231066703796387,6.231066703796387,10,0.8041415214538574,
59,,5.51723051071167,11,0.5469076633453369,5.51723051071167
59,6.188450813293457,6.188450813293457,11,0.8056913614273071,
64,6.074119567871094,6.074119567871094,12,0.8101488351821899,
69,,5.923877716064453,13,0.8156939744949341,5.923877716064453
69,6.072358131408691,6.072358131408691,13,0.8103296160697937,
74,6.618492126464844,6.618492126464844,14,0.7904525399208069,
79,,5.506588935852051,15,0.8209036588668823,5.506588935852051
79,6.609882354736328,6.609882354736328,15,0.7936277389526367,
84,6.230960369110107,6.230960369110107,16,0.8041399121284485,
89,,3.7277133464813232,17,0.8291481733322144,3.7277133464813232
89,6.077291965484619,6.077291965484619,17,0.8100129961967468,
94,6.274125099182129,6.274125099182129,18,0.8035125732421875,
99,,3.4092283248901367,19,0.8761603236198425,3.4092283248901367
99,6.2206315994262695,6.2206315994262695,19,0.8045257329940796,
