epoch,step,r2_score,mse,val_loss,train_loss
0,41,-4.83781623840332,1253288574976.0,1253288574976.0,
1,49,-7.975126266479492,820128317440.0,,820128317440.0
1,83,-4.837811470031738,1253287657472.0,1253287657472.0,
2,99,-6.530731678009033,1181902569472.0,,1181902569472.0
2,125,-4.8378071784973145,1253286608896.0,1253286608896.0,
3,149,-2.417037010192871,1499002306560.0,,1499002306560.0
3,167,-4.837802886962891,1253285822464.0,1253285822464.0,
4,199,-3.565537929534912,1377338392576.0,,1377338392576.0
4,209,-4.837799072265625,1253285036032.0,1253285036032.0,
5,249,-2.008490800857544,2339807690752.0,,2339807690752.0
5,251,-4.837794303894043,1253283987456.0,1253283987456.0,
6,293,-4.837790012359619,1253283201024.0,1253283201024.0,
7,299,-3.283613681793213,1452828786688.0,,1452828786688.0
7,335,-4.837785243988037,1253282152448.0,1253282152448.0,
8,349,-9.473158836364746,669303177216.0,,669303177216.0
8,377,-4.8377814292907715,1253281234944.0,1253281234944.0,
9,399,-2.4263052940368652,1567039946752.0,,1567039946752.0
9,419,-4.8377766609191895,1253280579584.0,1253280579584.0,
10,449,-3.2577033042907715,1187053699072.0,,1187053699072.0
10,461,-4.837772369384766,1253279662080.0,1253279662080.0,
11,499,-4.714732646942139,1230061043712.0,,1230061043712.0
11,503,-4.837767601013184,1253278744576.0,1253278744576.0,
12,545,-4.837763786315918,1253277827072.0,1253277827072.0,
13,549,-5.036774635314941,1173075263488.0,,1173075263488.0
13,587,-4.837759494781494,1253276909568.0,1253276909568.0,
14,599,-2.6879684925079346,1632501366784.0,,1632501366784.0
14,629,-4.837754249572754,1253275992064.0,1253275992064.0,
15,649,-4.5712738037109375,1154628452352.0,,1154628452352.0
15,671,-4.837750434875488,1253275074560.0,1253275074560.0,
16,699,-3.452077865600586,891442888704.0,,891442888704.0
16,713,-4.837745666503906,1253274157056.0,1253274157056.0,
17,749,-4.834271430969238,1012738490368.0,,1012738490368.0
17,755,-4.837742328643799,1253273370624.0,1253273370624.0,
18,797,-4.837737083435059,1253272453120.0,1253272453120.0,
19,799,-1.870532512664795,2854772277248.0,,2854772277248.0
19,839,-4.837733268737793,1253271535616.0,1253271535616.0,
20,849,-3.249606132507324,1090870640640.0,,1090870640640.0
20,881,-4.837728500366211,1253270618112.0,1253270618112.0,
21,899,-3.5295214653015137,1208447795200.0,,1208447795200.0
21,923,-4.837723731994629,1253269700608.0,1253269700608.0,
22,949,-3.528486728668213,1041154310144.0,,1041154310144.0
22,965,-4.837719440460205,1253268783104.0,1253268783104.0,
23,999,-3.2628159523010254,1529374048256.0,,1529374048256.0
23,1007,-4.8377156257629395,1253267865600.0,1253267865600.0,
24,1049,-2.037412166595459,1801638510592.0,,1801638510592.0
24,1049,-4.837711334228516,1253267079168.0,1253267079168.0,
25,1091,-4.837706565856934,1253266030592.0,1253266030592.0,
26,1099,-3.5330891609191895,1090471329792.0,,1090471329792.0
26,1133,-4.83770227432251,1253265244160.0,1253265244160.0,
27,1149,-5.924392223358154,1826011480064.0,,1826011480064.0
27,1175,-4.837697505950928,1253264326656.0,1253264326656.0,
