epoch,recall,step,accuracy,train_loss,precision,val_loss
0,1.0,9,0.6875,0.5639337301254272,0.6428571343421936,
0,0.8084443807601929,12,0.6499999761581421,,0.6624761819839478,0.6197704076766968
1,0.9090909361839294,19,0.6875,0.5664094686508179,0.7142857313156128,
1,0.8084443807601929,25,0.6600000262260437,,0.6709610223770142,0.6093330979347229
2,0.875,29,0.8125,0.5082900524139404,0.7777777910232544,
2,0.8262221813201904,38,0.6800000071525574,,0.6863722801208496,0.5997636318206787
3,0.75,39,0.625,0.5720533132553101,0.6000000238418579,
3,0.8571428656578064,49,0.5625,0.5809007883071899,0.5,
3,0.8262221813201904,51,0.6899999976158142,,0.7035151720046997,0.5903180837631226
4,0.8571428656578064,59,0.6875,0.576302707195282,0.6000000238418579,
4,0.8262221813201904,64,0.699999988079071,,0.7114272117614746,0.5809646844863892
5,0.8571428656578064,69,0.6875,0.7074183225631714,0.6000000238418579,
5,0.8422222137451172,77,0.7300000190734863,,0.7362769842147827,0.5721072554588318
6,0.8333333134651184,79,0.8125,0.5540322661399841,0.7142857313156128,
6,0.8999999761581421,89,0.8125,0.43760305643081665,0.8181818127632141,
6,0.8422222137451172,90,0.7300000190734863,,0.7362769842147827,0.5632873773574829
7,0.8333333134651184,99,0.75,0.5370256900787354,0.625,
